1,Xavier,Sala-i-Martin,xs23,approved,1
6,Manning,Marable,,approved,0
8,Jill,Shapiro,jss19,approved,2
9,Terence,D'Altroy,,approved,0
10,Marina,Cords,,approved,0
11,Ralph,Holloway,,approved,0
13,Don,Melnick,,approved,0
15,Lesley,Sharp,,approved,0
16,Michael,Taussig,,approved,0
18,David,Armitage,,approved,0
19,Bernard,Berofsky,,approved,0
20,Richard,Billows,,approved,1
21,Hamid,Dabashi,,approved,0
22,Pierre,Force,,approved,1
23,Martha,Howell,,approved,0
25,Edward,Malefakis,,approved,0
26,Andrew,Nathan,ajn1,approved,0
27,Peter,Pazzaglini,,approved,3
31,Isser,Woloch,,approved,0
33,Wang,Hailong,,approved,0
34,Lening,Liu,,approved,0
35,Shigeru,Eguchi,,approved,2
36,Naomi,Geyer,,approved,0
37,Peter,Allen,,approved,0
39,Steven,Feiner,,approved,0
40,Jonathan,Gross,,approved,1
41,Michael,Grossberg,,approved,0
42,John,Kender,,approved,1
43,Andrew,Kosoresow,,approved,0
44,Michael,Mauel,,approved,2
45,Jason,Nieh,jn234,approved,1
46,Steven,Nowick,,approved,0
47,Ken,Ross,,approved,0
50,Stephen,Unger,,approved,0
51,Yechiam,Yemini,,approved,0
52,William,De Bary,,approved,0
54,Rachel,McDermott,,approved,2
55,Gari,Ledyard,,approved,0
56,Tomi,Suzuki,,approved,0
58,David,Wang,,approved,0
59,Madeleine,Zelin,,approved,0
60,Sally,Davidson,,approved,0
61,Phoebus,Dhrymes,,approved,0
63,Sunil,Gulati,skg21,approved,2
64,Marc,Henry,,approved,1
67,Eiichi,Miyagawa,,approved,0
68,Lalith,Munasinghe,,approved,1
70,Edmund,Phelps,,approved,0
71,Carl,Riskin,,approved,0
73,Rajiv,Sethi,,approved,1
76,Jean,Howard,,approved,0
77,Karen,Karbiener,,approved,2
79,Karl,Kroeber,,approved,2
81,Peter,Platt,,approved,2
82,James,Shapiro,,approved,2
84,David,Yerkes,,approved,0
85,David,Sterritt,,approved,2
87,Gita,May,,approved,1
88,Roger,Bagnall,,approved,0
89,Elizabeth,Blackmar,,approved,2
90,Alan,Brinkley,,approved,2
92,Eric,Foner,,approved,2
93,Victoria,De Grazia,,approved,0
94,Arthur,Goren,,approved,0
96,William,Harris,,approved,0
97,Kenneth,Jackson,kj2702,approved,0
98,Winston,James,,approved,0
101,Rosalind,Rosenberg,,approved,3
102,Michael,Stanislawski,mfs3,approved,0
105,Mario,Bellati,,approved,0
106,Maria Luisa,Gozzi,,approved,2
107,Nelson,Moe,,approved,0
109,David,Eng,,approved,0
110,Lydia,Goehr,,approved,1
112,David,Kastan,,approved,1
