1,2025-04-14 19:40:52,"Students seem to either love or hate Professor Sala-i-Martin. Many praise his engaging and humorous lectures, making economics fun. He's regarded as very knowledgeable, but some find his teaching disorganized, with problem sets not matching lectures. A few students mentioned that the course focuses heavily on growth theory, potentially rushing other macro topics. The workload includes weekly problem sets, a midterm, and a final; the final is often viewed as challenging.
"
8,2025-04-14 19:42:26,"Based on the reviews, students seem to consider Professor Shapiro a dedicated and enthusiastic instructor, although some found her teaching style and course structure unusual.
Many praised her organized lectures and commitment to student success, while others noted the heavy emphasis on memorization and the demanding workload. Some students mentioned that her detailed instructions and specific expectations could be overwhelming. However, most agreed that she is passionate about anthropology and genuinely cares about her students' learning experience.
"
9,2025-04-14 19:41:00,"Based on the reviews, Professor D'Altroy is a knowledgable professor, although some students find his Rise of Civilization course to be overwhelming due to the volume of information.
While many appreciate the availability of lecture notes, some students find lectures dry, but others find his dry humor enjoyable. Smaller seminars are reportedly more engaging.
The workload generally consists of a midterm, a final, and often an optional paper; and students suggest that exams require significant memorization.
"
10,2025-04-14 19:41:07,"Based on the reviews, Professor Cords' course is a popular option for fulfilling the science requirement, though some find the material demanding. Many appreciate her organized lectures and helpful online resources, including lecture reviews. However, some students mention that the lectures can be dry, and the tests require precise memorization. The discussion sections, which involve watching videos, are a point of contention, with opinions varying on their helpfulness. The workload includes assignments, quizzes, midterms, and a final, but is generally manageable.
"
13,2025-04-13 22:17:42,"Based on the reviews, students have mixed opinions on Professor Melnick. Many appreciate his real-world experience and passion for environmental science, finding his lectures engaging, especially for non-science majors. The course workload appears manageable, consisting mainly of a midterm and final. However, some students felt the material was repetitive, occasionally basic, with some finding the lectures to rehash the previous week's content. A few students expressed concern about the grading, and the accessibility of A grades in the course.
"
15,2025-04-14 19:41:14,"Based on the reviews, Professor Sharp's anthropology courses appear to be intensive and reading-heavy. Students seem to appreciate her passion for the subject matter, particularly medical anthropology and African studies, and note that she fosters engaging class discussions. However, some students mentioned that her grading can be rigorous and detail-oriented, with high expectations for papers and exams, which may include memorization of specific details. A few students pointed out that the workload is substantial and requires significant time commitment. While opinions on the clarity of the course objectives vary, many students found the material interesting and intellectually stimulating.
"
16,2025-04-14 19:41:21,"Reviews of Professor Taussig are quite varied. Many students find him to be a fascinating and engaging lecturer, often describing him as eccentric and passionate. The course readings are typically interesting, but can be extensive, and might not be discussed in detail. Students mentioned that Professor Taussig often goes off on tangents during lectures. The workload consists primarily of short papers, and grading is often determined by the TA. Some students expressed concerns about the course content, finding it far from anthropology, while others appreciated the interdisciplinary nature of his classes.
"
19,2025-04-14 19:41:29,"Based on student reviews, Professor Berofsky's teaching style appears to be somewhat divisive. Some students praise his lectures as clear, well-structured, and engaging, with helpful examples. However, others find his lectures dry and struggle to maintain focus. The workload generally consists of papers and a final exam, and some students recommend seeking his input on paper topics beforehand. While some appreciate his thoroughness and accessibility, others find him challenging to understand and suggest that the course may not be suitable for all students.
"
20,2025-04-14 19:41:36,"Based on student reviews, Professor Billows is an engaging lecturer who knows his material well. Many students find his lectures entertaining, though some mention they can be dry at times. Several students noted that he often goes over the allotted class time. The workload consists of manageable reading assignments, a midterm, a final, and a paper. Some reviewers found the TAs inconsistent, while others had very positive experiences. Overall, students interested in Greek history will likely enjoy Professor Billows' courses.
"
21,2025-04-14 19:42:33,"Based on the reviews, Professor Dabashi seems to be a professor who evokes strong reactions from students. Some students find him to be brilliant, funny, and life-changing, appreciating his unconventional approach and broad knowledge. However, others express concerns about his teaching style, mentioning that the courses can lack structure, with lectures sometimes perceived as tangential or self-referential. The workload appears manageable with a few papers, though some students found the readings extensive. The TAs, especially Sahar, are often praised for their support.
"
